Type,Date,Description,Address,Latitude,Longitude
Burglary,10/03/2024 11:48 AM,Burglary/Breaking & Entering. Event #,"200 BLOCK OF COURT AVE, Des Moines, IA",41.58588195,-93.6330320492719
Assault,10/03/2024 10:19 AM,Simple Assault. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 9:29 AM,Counterfeiting/Forgery. Event #,"1700 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/03/2024 9:15 AM,Larceny All Other. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/03/2024 7:21 AM,ALL OTHER. Event #,"1300 BLOCK OF KEOSAUQUA WAY, Des Moines, IA",41.58588195,-93.6330320492719
Assault,10/03/2024 2:07 AM,Intimidation. Event #,"700 BLOCK OF 17TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/03/2024 12:42 AM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/02/2024 8:28 PM,Trespass of Real Property. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/02/2024 7:41 PM,Trespass of Real Property. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/02/2024 2:19 PM,All Other Offenses (Except Traffic or Warrants). Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/02/2024 2:13 PM,All Other Offenses (Except Traffic or Warrants). Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/02/2024 11:34 AM,Trespass of Real Property. Event #,"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/02/2024 5:34 AM,Drunkeness. Event #,"1200 BLOCK OF PLEASANT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 11:59 PM,Trespass of Real Property. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 11:45 PM,ALL OTHER. Event #,"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",41.58588195,-93.6330320492719
Arrest,10/01/2024 10:35 PM,Drug/Narcotic Violations. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 10:33 PM,ALL OTHER. Event #,"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 8:10 PM,Drunkeness. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/01/2024 7:00 PM,Larceny All Other. Event #,"00 BLOCK OF GRAYS LAKE TRL, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 4:50 PM,ALL OTHER. Event #,"1100 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 3:51 PM,Drunkeness. Event #,"200 BLOCK OF 7TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 3:08 PM,ALL OTHER. Event #,"1100 BLOCK OF GRAYS PKWY, Des Moines, IA",41.58588195,-93.6330320492719
Theft,10/01/2024 2:21 PM,Larceny All Other. Event #,"400 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 12:52 PM,ALL OTHER. Event #,"2100 BLOCK OF GRAND AVE, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 10:10 AM,ALL OTHER. Event #,"100 BLOCK OF SE 1ST ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/01/2024 8:44 AM,ALL OTHER. Event #,"200 BLOCK OF SW 11TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Vandalism,10/01/2024 12:01 AM,Destruction/Damage/Vandalism of Property. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719
Assault,09/30/2024 11:23 PM,Aggravated Assault. Event #,"1200 BLOCK OF 6TH AVE, Des Moines, IA",41.58588195,-93.6330320492719
Assault,09/30/2024 8:07 PM,Simple Assault. Event #,"1000 BLOCK OF WALNUT ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,09/30/2024 7:45 PM,ALL OTHER. Event #,"1100 BLOCK OF 21ST ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,09/30/2024 4:56 PM,ALL OTHER. Event #,"1100 BLOCK OF 14TH ST, Des Moines, IA",41.58588195,-93.6330320492719
Theft,09/30/2024 4:51 PM,Larceny All Other. Event #,"900 BLOCK OF SCHOOL ST, Des Moines, IA",41.58588195,-93.6330320492719
Other,10/05/2024 3:15 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","6600 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,10/05/2024 2:08 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Theft,10/04/2024 8:44 PM,"THEFT. This is from the Cedar Rapids police calls for service, information is subject to change.","200 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,10/03/2024 7:53 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Assault,10/03/2024 7:08 PM,"INDECENC. This is from the Cedar Rapids police calls for service, information is subject to change.","6600 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Assault,10/03/2024 4:44 PM,"HARASSME. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,10/03/2024 1:47 PM,"TRESPASS. This is from the Cedar Rapids police calls for service, information is subject to change.","600 BLOCK OF MILLER AVENUE DR SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Arrest,10/03/2024 11:28 AM,"DRUGS. This is from the Cedar Rapids police calls for service, information is subject to change.","300 BLOCK OF 66TH AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,10/02/2024 4:31 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","6700 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Burglary,10/02/2024 8:40 AM,"BURGLARY. This is from the Cedar Rapids police calls for service, information is subject to change.","6700 BLOCK OF J ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,10/02/2024 3:15 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","6800 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/30/2024 11:08 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","300 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/30/2024 8:39 PM,"DOMESTIC. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/30/2024 8:09 PM,"TRESPASS. This is from the Cedar Rapids police calls for service, information is subject to change.","600 BLOCK OF KIRKWOOD PKWY SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Assault,09/30/2024 6:03 PM,"HARASSME. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/30/2024 2:11 PM,"DOMESTIC. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/30/2024 11:04 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","200 BLOCK OF MONMOUTH ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/30/2024 8:21 AM,"DOMESTIC. This is from the Cedar Rapids police calls for service, information is subject to change.","100 BLOCK OF KOHAWK ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/28/2024 11:38 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","6500 BLOCK OF OHIO ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/28/2024 11:07 PM,"MISSINGF. This is from the Cedar Rapids police calls for service, information is subject to change.","5400 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/28/2024 11:00 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Assault,09/28/2024 6:58 PM,"HARASSME. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF FLORIDA CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/27/2024 8:25 PM,"DOMESTIC. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Assault,09/27/2024 6:39 PM,"ASSAULT REPORT. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF FLORIDA CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Theft,09/27/2024 3:51 PM,"THEFT. This is from the Cedar Rapids police calls for service, information is subject to change.","100 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/27/2024 3:40 PM,"SUSPICIO. This is from the Cedar Rapids police calls for service, information is subject to change.","5300 BLOCK OF J ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Theft,09/27/2024 12:45 PM,"THEFT. This is from the Cedar Rapids police calls for service, information is subject to change.","5400 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/27/2024 10:54 AM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","5300 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Assault,09/26/2024 7:24 PM,"HARASSME. This is from the Cedar Rapids police calls for service, information is subject to change.","00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/26/2024 6:36 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","6600 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/26/2024 6:15 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","100 BLOCK OF PRAIRIE HAWK CT SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/26/2024 3:12 AM,"TRESPASS. This is from the Cedar Rapids police calls for service, information is subject to change.","6600 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/26/2024 12:12 AM,"SUSPICIO. This is from the Cedar Rapids police calls for service, information is subject to change.","5900 BLOCK OF 4TH ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Arrest,09/25/2024 5:07 PM,"WEAPONSF. This is from the Cedar Rapids police calls for service, information is subject to change.","100 BLOCK OF KOHAWK ST SW, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/25/2024 4:50 PM,"OTHER. This is from the Cedar Rapids police calls for service, information is subject to change.","TRANSAMERICA, Cedar Rapids, IA",41.917456092587486,-91.656552
Other,09/23/2024 6:22 PM,"DISTURBN. This is from the Cedar Rapids police calls for service, information is subject to change.","3400 BLOCK OF E AVE NW, Cedar Rapids, IA",42.16875959007941,-92.0245565114992
Other,09/14/2024 10:18 PM,"TRESPASS. This is from the Cedar Rapids police calls for service, information is subject to change.","BLAIRS FERRY RD NE AND SAMMI DR NE, Cedar Rapids, IA",42.16875959007941,-92.0245565114992
Other,09/14/2024 1:47 AM,Falsify Drivers License/ Liquor Law Violations,"LOT 21 - PBB UNDERGROUND PARKING, Iowa City, IA",42.16875959007941,-92.0245565114992
Other,08/31/2024 4:21 PM,"SUSPICIO. This is from the Cedar Rapids police calls for service, information is subject to change.","6900 BLOCK OF VALLEY VIEW CT NW, Cedar Rapids, IA",42.16875959007941,-92.0245565114992
Theft,08/31/2024 3:45 AM,Theft,"LOT 55 - HANCHER, Iowa City, IA",42.16875959007941,-92.0245565114992
