Address,City,State,Median Household Income
"500 BLOCK OF SOUTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144"
"200 BLOCK OF WEST 12TH STREET, Maryville, MO",Maryville,MO,"$49,144"
"1600 BLOCK OF SOUTH MAIN, Maryville, MO",Maryville,MO,"$49,144"
"1100 BLOCK OF EAST THOMPSON, Maryville, MO",Maryville,MO,"$49,144"
"200 BLOCK OF NORTH RAY, Maryville, MO",Maryville,MO,"$49,144"
"100 BLOCK OF EAST 3RD STREET, Maryville, MO",Maryville,MO,"$49,144"
"100 BLOCK OF NORTH VINE, Maryville, MO",Maryville,MO,"$49,144"
"600 BLOCK OF EAST 14TH STREET, Maryville, MO",Maryville,MO,"$49,144"
"200 BLOCK OF NORTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144"
"100 BLOCK OF NORTH BUCHANAN, Maryville, MO",Maryville,MO,"$49,144"
"100 BLOCK OF NORTH VINE, Maryville, MO",Maryville,MO,"$49,144"
"500 BLOCK OF EAST JENKINS, Maryville, MO",Maryville,MO,"$49,144"
"500 BLOCK OF WEST 4TH STREET, Maryville, MO",Maryville,MO,"$49,144"
"400 BLOCK OF EAST 1ST STREET, Maryville, MO",Maryville,MO,"$49,144"
"100 BLOCK OF WEST 4TH STREET, Maryville, MO",Maryville,MO,"$49,144"
"200 BLOCK OF EAST 3RD STREET, Maryville, MO",Maryville,MO,"$49,144"
"600 BLOCK OF SOUTH MAIN, Maryville, MO",Maryville,MO,"$49,144"
"300 BLOCK OF EAST COOPER, Maryville, MO",Maryville,MO,"$49,144"
"1600 BLOCK OF SOUTH MAIN, Maryville, MO",Maryville,MO,"$49,144"
"1100 BLOCK OF NORTH COLLEGE AVENUE, Maryville, MO",Maryville,MO,"$49,144"
"200 BLOCK OF VOLUNTEER AVENUE, Maryville, MO",Maryville,MO,"$49,144"
"11000 BLOCK OF EAST 11TH STREET, Atlantic, IA",Atlantic,IA,"$54,692"
"200 BLOCK OF COURT AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF PLEASANT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF 7TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF E GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"2300 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF 7TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"700 BLOCK OF 24TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1100 BLOCK OF 17TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF PLEASANT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"100 BLOCK OF SE 1ST ST, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF SCHOOL ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1400 BLOCK OF 10TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF 7TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1000 BLOCK OF WALNUT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1700 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF E GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF COURT AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF SCHOOL ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1700 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF 7TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1300 BLOCK OF KEOSAUQUA WAY, Des Moines, IA",Des Moines,IA,"$62,378"
"700 BLOCK OF 17TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF PLEASANT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1000 BLOCK OF WALNUT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"400 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"400 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF PLEASANT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF UNIVERSITY CT, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"00 BLOCK OF GRAYS LAKE TRL, Des Moines, IA",Des Moines,IA,"$62,378"
"1100 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF 7TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1100 BLOCK OF GRAYS PKWY, Des Moines, IA",Des Moines,IA,"$62,378"
"400 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"2100 BLOCK OF GRAND AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"100 BLOCK OF SE 1ST ST, Des Moines, IA",Des Moines,IA,"$62,378"
"200 BLOCK OF SW 11TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF SCHOOL ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1200 BLOCK OF 6TH AVE, Des Moines, IA",Des Moines,IA,"$62,378"
"1000 BLOCK OF WALNUT ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1100 BLOCK OF 21ST ST, Des Moines, IA",Des Moines,IA,"$62,378"
"1100 BLOCK OF 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378"
"900 BLOCK OF SCHOOL ST, Des Moines, IA",Des Moines,IA,"$62,378"
"6600 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"200 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6600 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"600 BLOCK OF MILLER AVENUE DR SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"300 BLOCK OF 66TH AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6700 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6700 BLOCK OF J ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6800 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"300 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"600 BLOCK OF KIRKWOOD PKWY SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"200 BLOCK OF MONMOUTH ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF KOHAWK ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6500 BLOCK OF OHIO ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5400 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF FLORIDA CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF FLORIDA CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF KIRKWOOD CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5300 BLOCK OF J ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5400 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5300 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF MILLER AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6600 BLOCK OF COLLEGE PARK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF PRAIRIE HAWK CT SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6600 BLOCK OF KIRKWOOD BLVD SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5900 BLOCK OF 4TH ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF KOHAWK ST SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"TRANSAMERICA, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"BLAIRS FERRY RD NE AND SAMMI DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"LOT 21 - PBB UNDERGROUND PARKING, Iowa City, IA",Iowa City,IA,
"6900 BLOCK OF VALLEY VIEW CT NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"LOT 55 - HANCHER, Iowa City, IA",Iowa City,IA,
"1ST AVENUE E AND 32ND STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"80TH ST NW AND E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"ELLIS BLVD NW AND ELLIS PARK NORTH ENTRANCE RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6300 BLOCK OF RAPIDS RIDGE RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"CITY HALL, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6900 BLOCK OF VALLEY VIEW CT NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"BLAIRS FERRY RD NE AND SAMMI DRIVE NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6800 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"80TH ST NW AND KEYPOINT DR SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"GILCHRIST EAST METERS, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"1ST AVE E AND 36TH ST NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF COMMERCIAL ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"900 BLOCK OF S 3RD STREET, Marshalltown, IA",Marshalltown,IA,"$65,000"
"6900 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"ELLIS PARK RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"ELLIS PARK RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"7500 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"7500 BLOCK OF COUNTRY RIDGE DR NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"1ST ST AND WALNUT ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"LINCOLN ST AND E MAIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"LINCOLN ST AND E MAIN ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"1ST AVE W AND EASTVIEW AVE SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"1ST AVENUE E AND 36TH STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF HWY AND 00 BLOCK OF HWY, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"3400 BLOCK OF E AVE NW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"500 BLOCK OF HWY 218, Cedar Falls, IA",Cedar Falls,IA,"$71,011"
"100 BLOCK OF W HWY 20, Waterloo, IA",Waterloo,IA,"$54,104"
"100 BLOCK OF W HWY 20, Waterloo, IA",Waterloo,IA,"$54,104"
"1ST AVENUE E AND 32ND STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"ELLIS PARK RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF W HWY 20, Waterloo, IA",Waterloo,IA,"$54,104"
"ELLIS PARK RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5700 BLOCK OF STRAWBRIDGE RD NE, IOWA CITY, IA",IOWA CITY,IA,
"5000 BLOCK OF 140TH ST NE, SOLON, IA",SOLON,IA,"$114,936"
"5100 BLOCK OF 340TH ST NE, IOWA CITY, IA",IOWA CITY,IA,
"5000 BLOCK OF 210TH ST NE, SOLON, IA",SOLON,IA,"$114,936"
"1100 BLOCK OF YELLOW PINE AVE NE, LISBON, IA",LISBON,IA,"$82,452"
"JONES POOL RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5500 BLOCK OF MORSE RD NE, SOLON, IA",SOLON,IA,"$114,936"
"2400 BLOCK OF HWY 6 E, IOWA CITY, IA",IOWA CITY,IA,
"3000 BLOCK OF MUSCATINE AVE, IOWA CITY, IA",IOWA CITY,IA,
"BRADFORD DR/WADE ST, IOWA CITY, IA",IOWA CITY,IA,
"2400 BLOCK OF HWY 6 E, IOWA CITY, IA",IOWA CITY,IA,
"2400 BLOCK OF HWY 6 E, IOWA CITY, IA",IOWA CITY,IA,
"1000 BLOCK OF E COLLEGE ST, IOWA CITY, IA",IOWA CITY,IA,
"1100 BLOCK OF ARTHUR ST, IOWA CITY, IA",IOWA CITY,IA,
"800 BLOCK OF S 1ST AVE, IOWA CITY, IA",IOWA CITY,IA,
"1900 BLOCK OF FRIENDSHIP ST, IOWA CITY, IA",IOWA CITY,IA,
"1500 BLOCK OF MALL DR, IOWA CITY, IA",IOWA CITY,IA,
"2300 BLOCK OF HOLLYWOOD BLVD, IOWA CITY, IA",IOWA CITY,IA,
"00 BLOCK OF ANISTON ST, IOWA CITY, IA",IOWA CITY,IA,
"1800 BLOCK OF LAKESIDE DR, IOWA CITY, IA",IOWA CITY,IA,
"2400 BLOCK OF HWY 6 E, IOWA CITY, IA",IOWA CITY,IA,
"2300 BLOCK OF HOLLYWOOD BLVD, Iowa City, IA",Iowa City,IA,
"2400 BLOCK OF HWY 6 E, Iowa City, IA",Iowa City,IA,
"2400 BLOCK OF HWY 6 E, Iowa City, IA",Iowa City,IA,
"3000 BLOCK OF MUSCATINE AVE, Iowa City, IA",Iowa City,IA,
"800 BLOCK OF S 1ST AVE, Iowa City, IA",Iowa City,IA,
"1900 BLOCK OF FRIENDSHIP ST, Iowa City, IA",Iowa City,IA,
"00 BLOCK OF ANISTON ST, Iowa City, IA",Iowa City,IA,
"1000 BLOCK OF E COLLEGE ST, Iowa City, IA",Iowa City,IA,
"2400 BLOCK OF HWY 6 E, Iowa City, IA",Iowa City,IA,
"1800 BLOCK OF LAKESIDE DR, Iowa City, IA",Iowa City,IA,
"1100 BLOCK OF ARTHUR ST, Iowa City, IA",Iowa City,IA,
"1500 BLOCK OF MALL DR, Iowa City, IA",Iowa City,IA,
"BRADFORD DR AND WADE ST, Iowa City, IA",Iowa City,IA,
"2400 BLOCK OF HWY 6 E, IOWA CITY, IA",IOWA CITY,IA,
"1900 BLOCK OF SHERMAN DR, IOWA CITY, IA",IOWA CITY,IA,
"1900 BLOCK OF SHERMAN DR, IOWA CITY, IA",IOWA CITY,IA,
"2100 BLOCK OF E COURT ST, IOWA CITY, IA",IOWA CITY,IA,
"1100 BLOCK OF 3RD AVE, IOWA CITY, IA",IOWA CITY,IA,
"1400 BLOCK OF S 1ST AVE, IOWA CITY, IA",IOWA CITY,IA,
"S 1ST AVE/MALL DR, IOWA CITY, IA",IOWA CITY,IA,
"800 BLOCK OF S 1ST AVE, IOWA CITY, IA",IOWA CITY,IA,
"1800 BLOCK OF HOLLYWOOD CT, IOWA CITY, IA",IOWA CITY,IA,
"800 BLOCK OF S SUMMIT ST, IOWA CITY, IA",IOWA CITY,IA,
"1200 BLOCK OF BROOKWOOD DR, IOWA CITY, IA",IOWA CITY,IA,
"1900 BLOCK OF KEOKUK ST, IOWA CITY, IA",IOWA CITY,IA,
"1900 BLOCK OF MORNINGSIDE DR, Iowa City, IA",Iowa City,IA,
"1800 BLOCK OF HOLLYWOOD CT, Iowa City, IA",Iowa City,IA,
"2100 BLOCK OF E COURT ST, Iowa City, IA",Iowa City,IA,
"S 1ST AVE AND MALL DR, Iowa City, IA",Iowa City,IA,
"1900 BLOCK OF KEOKUK ST, Iowa City, IA",Iowa City,IA,
"500 BLOCK OF 3RD AVE SE, Dubuque, IA",Dubuque,IA,
"1200 BLOCK OF 12TH AVE SE, Dubuque, IA",Dubuque,IA,
"900 BLOCK OF 1ST AVE W, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3500 BLOCK OF 136 AND STEGER RD, Dubuque, IA",Dubuque,IA,
"8500 BLOCK OF 61 AND ROUTE 151 S EXIT, Dubuque, IA",Dubuque,IA,
"JONES POOL RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"600 BLOCK OF 7TH AVE SE, Dubuque, IA",Dubuque,IA,
"300 BLOCK OF 1ST ST S, Dubuque, IA",Dubuque,IA,
"500 BLOCK OF 2ND ST NE AND 6TH AVE NE, Dubuque, IA",Dubuque,IA,
"700 BLOCK OF 2ND ST NE, Dubuque, IA",Dubuque,IA,
"8500 BLOCK OF 61 AND ROUTE 151 S EXIT, Dubuque, IA",Dubuque,IA,
"1ST AVENUE E AND 5TH STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"1ST AVENUE E AND 5TH STREET NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"900 BLOCK OF JOHNSON ST NW, Dubuque, IA",Dubuque,IA,
"CEDAR LAKE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF 1ST ST N, Dubuque, IA",Dubuque,IA,
"700 BLOCK OF 9TH ST SE, Dubuque, IA",Dubuque,IA,
"70TH ST NE AND WHITE IVY PL NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"JONES GOLF COURSE RD, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF ST N AND 8TH AVE NE, Dubuque, IA",Dubuque,IA,
"700 BLOCK OF 1ST AVE E, Dubuque, IA",Dubuque,IA,
"900 BLOCK OF JOHNSON ST NW, Dubuque, IA",Dubuque,IA,
"300 BLOCK OF 1ST ST S, Dubuque, IA",Dubuque,IA,
"13400 BLOCK OF BLACK HILLS RD, Dubuque, IA",Dubuque,IA,
"11400 BLOCK OF HOLY CROSS RD AND PINS RD, Dubuque, IA",Dubuque,IA,
"1ST AVE E AND 38TH ST NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"BELTLINE RD, Dubuque, IA",Dubuque,IA,
"700 BLOCK OF 18TH AVE SW, Dubuque, IA",Dubuque,IA,
"700 BLOCK OF FIELD OF DREAMS WAY, Dubuque, IA",Dubuque,IA,
"1400 BLOCK OF 9TH ST SE, Dubuque, IA",Dubuque,IA,
"500 BLOCK OF 3RD AVE SE, Dubuque, IA",Dubuque,IA,
"600 BLOCK OF 3RD AVE NW, Dubuque, IA",Dubuque,IA,
"300 BLOCK OF 1ST AVE W, Dubuque, IA",Dubuque,IA,
"1ST AVE E AND 38TH ST NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"300 BLOCK OF 3RD AVE NW, Dubuque, IA",Dubuque,IA,
"1ST AVENUE E AND 5TH STREET SE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"1ST AVENUE W AND 5TH STREET SW, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"800 BLOCK OF 7TH AVE SE, Dubuque, IA",Dubuque,IA,
"1400 BLOCK OF DELONG AVE SE, Dubuque, IA",Dubuque,IA,
"11100 BLOCK OF 3, DUBUQUE, IA",DUBUQUE,IA,
"20TH ST SE AND 5TH AVE SE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"11100 BLOCK OF 3, DUBUQUE, IA",DUBUQUE,IA,
"400 BLOCK OF JOHNSON ST NW, Dubuque, IA",Dubuque,IA,
"100 BLOCK OF OAK RIDGE AVE, HILLS, IA",HILLS,IA,"$78,406"
"4900 BLOCK OF OAK CREST HILL RD SE, IOWA CITY, IA",IOWA CITY,IA,
"4200 BLOCK OF 520TH ST SE, IOWA CITY, IA",IOWA CITY,IA,
"HWY 1 SW/500TH ST SW, KALONA, IA",KALONA,IA,"$67,813"
"400 BLOCK OF BRADY ST, HILLS, IA",HILLS,IA,"$78,406"
"100 BLOCK OF SUMMER CIR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3700 BLOCK OF PINE WOOD DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"300 BLOCK OF LESLEY LN NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3200 BLOCK OF TOWNE HOUSE DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5200 BLOCK OF PINE GROVE DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5400 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF HEMLOCK PL NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5000 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"400 BLOCK OF JENNIFER LN NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5000 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"100 BLOCK OF SUMMER CIR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"300 BLOCK OF PAULA LN NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5200 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5000 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"3400 BLOCK OF HEMLOCK PL NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2600 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"2900 BLOCK OF BLAIRS FERRY RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"4600 BLOCK OF CROSS POINTE BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5000 BLOCK OF EDGEWOOD RD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"00 BLOCK OF LEISURE BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"6100 BLOCK OF GIBSON DR NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
"5400 BLOCK OF BLAIRS FOREST BLVD NE, Cedar Rapids, IA",Cedar Rapids,IA,"$66,895"
